Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string
Ramón de la Cruz,Ramón de la Cruz,España,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Ram%C3%B3n%20de%20la%20Cruz%20y%20sus%20obras%20%281899%29%20%28retrato%29.jpg,Madrid,+1731-03-28T00:00:00Z,+1794-03-05T00:00:00Z,,,,,362
Ramón del Valle-Inclán,Ramón del Valle-Inclán,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Mar%C3%ADa%20del%20Valle%20Incl%C3%A1n%2C%20de%20Audouard.jpg,Villanueva de Arosa,+1866-10-28T00:00:00Z,+1936-01-05T00:00:00Z,"Poesía, Novela, Dramaturgia, Esperpento","Literatura modernista",,,3484
Raymond Carver,Raymond Carver,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Raymond%20Carver.jpg,Clatskanie,+1938-05-25T00:00:00Z,+1988-08-02T00:00:00Z,"Cuento",,,"Premio O. Henry, Beca Guggenheim",14645
Raymond Chandler,Raymond Chandler,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Raymond%20Chandler%20%28Lady%20in%20the%20Lake%20portrait%2C%201943%29.jpg,Chicago,+1888-07-23T00:00:00Z,+1959-03-26T00:00:00Z,"Ficción de detectives",,"La dama del lago, El sueño eterno, El largo adiós, Playback, La hermana pequeña, Adiós, muñeca","Premio Edgar",5075
Raúl González Tuñón,Raúl González Tuñón,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/RGTunon.jpg,Buenos Aires,+1905-03-29T00:00:00Z,+1974-08-14T00:00:00Z,"Poesía",,,,14434
Raúl Montero Bustamante,Raúl Montero Bustamante,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Ra%C3%BAl%20Montero%20Bustamante.png,Montevideo,+1881-04-04T00:00:00Z,+1958-08-19T00:00:00Z,,,,,74581
Raúl Silva Castro,Raúl Silva Castro,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Ra%C3%BAl%20Silva%20Castro.jpg,Santiago,+1903-12-08T00:00:00Z,+1970-06-12T00:00:00Z,,,,"Premio Atenea",3672
Rebecca West,Rebecca West,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Rebecca%20West.jpg,Londres,+1892-12-21T00:00:00Z,+1983-03-15T00:00:00Z,,,,"Dama Comandante de la Orden del Imperio británico",48907
Remigio Crespo Toral,Remigio Crespo Toral,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Remigio%20Crespo%20Toral.png,Cuenca,+1860-08-04T00:00:00Z,+1939-07-08T00:00:00Z,,,,,7389
Renato Prada Oropeza,Renato Prada Oropeza,México,http://commons.wikimedia.org/wiki/Special:FilePath/Renato%20Prada%20Oropeza.jpg,Potosí,+1937-10-17T00:00:00Z,+2011-09-09T00:00:00Z,,,,,34303
Rex Ingram,Rex Ingram,Irlanda,http://commons.wikimedia.org/wiki/Special:FilePath/Rexingram2.jpg,Dublín,+1892-01-15T00:00:00Z,+1950-07-21T00:00:00Z,,,,,69997
Ricardo Burguete,Ricardo Burguete,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Burguete%2C%20teniente%20de%20infanter%C3%ADa.jpg,Zaragoza,+1871-02-03T00:00:00Z,+1937-01-01T00:00:00Z,,,,,15530
Ricardo Carballo Calero,Ricardo Carballo Calero,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carballo%20Calero%2C%20dunha%20foto%20con%20Cunqueiro%20e%20Fern%C3%A1ndez%20del%20Riego%20en%20Santiago%20de%20Compostela.jpg,Ferrol,+1910-10-30T00:00:00Z,+1990-03-25T00:00:00Z,,,"Scórpio, Historia da literatura galega contemporánea","Medalla Castelao, Hijo Predilecto de Ferrol",9601
Ricardo Catarineu,Ricardo Catarineu,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Catarineu%2C%20en%20La%20Ilustraci%C3%B3n%20Espa%C3%B1ola%20y%20Americana.jpg,Tarragona,+1868-01-01T00:00:00Z,+1915-01-01T00:00:00Z,"Poesía",,,,288
Ricardo Fernández Guardia,Ricardo Fernández Guardia,Costa Rica,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Fern%C3%A1ndez%20Guardia.jpg,Alajuela,+1867-01-04T00:00:00Z,+1950-02-25T00:00:00Z,,,,,42216
Ricardo Güiraldes,Ricardo Güiraldes,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/RicardoGuiraldes.JPG,Buenos Aires,+1886-02-13T00:00:00Z,+1927-10-08T00:00:00Z,"Poesía",,,,65
Ricardo José Vicente Monner Sans,Ricardo José Vicente Monner Sans,España,http://commons.wikimedia.org/wiki/Special:FilePath/Busto1.jpg,Barcelona,+1853-10-26T00:00:00Z,+1927-04-23T00:00:00Z,,,,,7130
Ricardo Palma,Ricardo Palma,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/Palma1.jpg,Lima,+1833-02-07T00:00:00Z,+1919-10-06T00:00:00Z,,"Romanticismo, Costumbrismo literario",,,527
Ricardo Piglia,Ricardo Piglia,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Piglia.jpg,Adrogué,+1941-11-24T00:00:00Z,+2017-01-06T00:00:00Z,"Prosa",,"Respiración artificial, Plata quemada","Premio Rómulo Gallegos, Beca Guggenheim, Premio Formentor de las Letras, Premio José Donoso, Premio Iberoamericano de Narrativa Manuel Rojas, Premio José María Arguedas",30832
Ricardo Rojas,Ricardo Rojas,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Rojas%201926.png,San Miguel de Tucumán,+1882-09-16T00:00:00Z,+1957-07-29T00:00:00Z,,,,,36249
Ricardo Senabre,Ricardo Senabre,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20senabre%20%289%29.JPG,Alcoy,+1937-01-01T00:00:00Z,+2015-02-01T00:00:00Z,,,,"doctor honoris causa, Encomienda de la Orden Civil de Alfonso X el Sabio, Medalla de la Universidad de Extremadura",8577
Richard Cumberland,Richard Cumberland,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Cumberland.jpg,Londres,+1631-07-15T00:00:00Z,+1718-10-09T00:00:00Z,,,,,61180
Richard Hakluyt,Richard Hakluyt,Inglaterra,http://commons.wikimedia.org/wiki/Special:FilePath/RichardHakluyt-BristolCathedral-stainedglasswindow.jpg,Hereford,+1552-01-01T00:00:00Z,+1616-11-23T00:00:00Z,,,,,34577
Richard Jefferies,Richard Jefferies,Reino Unido de Gran Bretaña e Irlanda,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20jefferies.jpg,Swindon,+1848-11-06T00:00:00Z,+1887-08-14T00:00:00Z,,,,,544
