Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string,QID
Bertrand Russell,Bertrand Russell,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Bertrand%20Russell%20transparent%20bg.png,Trellech,+1872-05-18T00:00:00Z,+1970-02-02T00:00:00Z,,"Librepensador, Filosofía occidental, Filosofía analítica","Historia de la filosofía occidental, Principia mathematica, El poder en los hombres y en los pueblos, Elogio de la ociosidad y otros ensayos, Los problemas de la filosofía, Evolución de mi pensamiento filosófico","Premio Nobel de Literatura, Premio Jerusalén, Medalla De Morgan, Premio Kalinga, Medalla Sylvester, Medalla Carl von Ossietzky, miembro de la Royal Society",43916,Q187
Bonaventura Bassegoda i Amigó,Bonaventura Bassegoda i Amigó,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20MNAC-%20Bonaventura%20Bassegoda-%20027310-D%20006468.jpg,Barcelona,+1862-05-16T00:00:00Z,+1940-11-29T00:00:00Z,,Modernismo catalán,,Concurso anual de edificios artísticos,55370,Q188
Bonaventura Carles Aribau,Bonaventura Carles Aribau,España,http://commons.wikimedia.org/wiki/Special:FilePath/EspalterAribau.jpg,Barcelona,+1798-11-04T00:00:00Z,+1862-09-17T00:00:00Z,,,,,376,Q189
Booth Tarkington,Booth Tarkington,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Booth%20Tarkington%2C%20with%20signature.jpg,Indianápolis,+1869-07-29T00:00:00Z,+1946-05-19T00:00:00Z,,,,,746,Q190
Bret Harte,Bret Harte,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Bret%20Harte%20%28by%20Sarony%2C%201872%29.jpg,Albany,+1836-08-25T00:00:00Z,+1902-05-06T00:00:00Z,,,,,92990,Q191
Carles Riba,Carles Riba,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carles%20Riba%2019201923.jpg,Barcelona,+1893-09-23T00:00:00Z,+1959-07-12T00:00:00Z,Poesía,,,Premio Crítica Serra d'Or de Literatura y Ensayo,2847,Q193
Carlos Arniches,Carlos Arniches,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Arniches%202.jpg,Alicante,+1866-10-11T00:00:00Z,+1943-04-16T00:00:00Z,Dramaturgia,,El Padre Pitillo,,2943,Q194
Carlos Casares,Carlos Casares,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Casares.jpg,Orense,+1941-08-24T00:00:00Z,+2002-03-09T00:00:00Z,,,"La gallina azul (libro), Los escuros sueños de Clío",,82692,Q195
Carlos Castilla del Pino,Carlos Castilla del Pino,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Castilla%20del%20Pino.jpg,San Roque,+1922-05-01T00:00:00Z,+2009-05-15T00:00:00Z,,,,"Hijo Predilecto de Andalucía, Premio Internacional de Ensayo Jovellanos, doctor honoris causa, Hija Predilecta de la Provincia de Cádiz",9859,Q196
Carlos Fernández Shaw,Carlos Fernández Shaw,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Fern%C3%A1ndez%20Shaw%2C%20de%20Compa%C3%B1y.jpg,Cádiz,+1865-09-23T00:00:00Z,+1911-06-07T00:00:00Z,,,,Premio Fastenrath,14626,Q197
Carlos Frontaura,Carlos Frontaura,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Frontaura%20en%20Heraldo%20de%20Madrid.jpg,Madrid,+1835-01-01T00:00:00Z,+1910-10-19T00:00:00Z,,,,,3501,Q198
Carlos Gagini,Carlos Gagini,Costa Rica,http://commons.wikimedia.org/wiki/Special:FilePath/Gagini%20Carlos.jpg,San José,+1865-03-15T00:00:00Z,+1925-03-31T00:00:00Z,,,,,90313,Q200
Carlos María Ramírez,Carlos María Ramírez,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/CARLOS%20MARIA%20RAMIREZ.jpg,Río Grande del Sur,+1848-04-06T00:00:00Z,+1898-09-19T00:00:00Z,,,,,36507,Q201
Carlos Monsiváis,Carlos Monsiváis,México,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20monsivais.jpg,Ciudad de México,+1938-05-04T00:00:00Z,+2010-06-19T00:00:00Z,,,,"Premio Nacional de Ciencias y Artes, Premio Príncipe Claus, Premio Xavier Villaurrutia, Beca Guggenheim, Premio FIL de Literatura en Lenguas Romances, Premio Mazatlán de Literatura, doctor honoris causa de la Universidad Nacional Mayor de San Marcos",73572,Q202
Carlos Montemayor,Carlos Montemayor,México,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Montemayor%20%28cropped%29.jpg,Hidalgo del Parral,+1947-06-13T00:00:00Z,+2010-02-27T00:00:00Z,,,,"honoris causa, Premio Nacional de Ciencias y Artes, Premio Xavier Villaurrutia",70654,Q203
Carlos Muñiz,Carlos Muñiz,España,http://commons.wikimedia.org/wiki/Special:FilePath/CARLOS%20MU%C3%91IZ.tif,Madrid,+1927-12-02T00:00:00Z,+1994-10-14T00:00:00Z,Dramaturgia,,,,57694,Q204
Carlos París,Carlos París,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Par%C3%ADs%202012%20%28cropped%29.jpg,Bilbao,+1925-07-17T00:00:00Z,+2014-01-31T00:00:00Z,,,,,4555,Q205
Carlos Pellicer Cámara,Carlos Pellicer Cámara,México,http://commons.wikimedia.org/wiki/Special:FilePath/Unknowntomb4DoloresDF.JPG,Villahermosa,+1899-01-16T00:00:00Z,+1977-02-16T00:00:00Z,,,,Premio Nacional de Ciencias y Artes,10200,Q206
Carlos Pujol,Carlos Pujol,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20pujol2.jpg,Barcelona,+1936-01-01T00:00:00Z,+2012-01-16T00:00:00Z,"Poesía, Ensayo, Narrativa",,,,93968,Q207
Carlos Ramón Fort,Carlos Ramón Fort,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Ram%C3%B3n%20Fort%2C%20en%20La%20Ilustraci%C3%B3n%20de%20Galicia%20y%20Asturias.jpg,La Coruña,+1807-11-24T00:00:00Z,+1878-04-09T00:00:00Z,,,,,7656,Q208
Carlos Real de Azúa,Carlos Real de Azúa,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Real%20de%20Azua.jpg,Montevideo,+1916-03-15T00:00:00Z,+1977-07-16T00:00:00Z,,,,,34606,Q209
Carlos Roxlo,Carlos Roxlo,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/1891-1892%2C%20Almanaque%20Sud-americano%2C%20Carlos%20Roxlo%20%28cropped%29.jpg,Montevideo,+1861-03-12T00:00:00Z,+1926-09-24T00:00:00Z,,,,,37045,Q210
Carlos Thompson,Carlos Thompson,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Thompson-Lana%20Turner%20in%20Flame%20and%20the%20Flesh.jpg,Buenos Aires,+1923-06-07T00:00:00Z,+1990-10-10T00:00:00Z,,,,,89252,Q211
Carlos de Sigüenza y Góngora,Carlos de Sigüenza y Góngora,Virreinato de Nueva España,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20de%20Siguenza%20y%20Gongora.jpg,Ciudad de México,+1645-08-14T00:00:00Z,+1700-08-22T00:00:00Z,,,,,617,Q212
Carmelina Sánchez-Cutillas,Carmelina Sánchez-Cutillas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Placa%20de%20la%20pla%C3%A7a%20de%20l%27escriptora%20Carmelina%20S%C3%A1nchez-Cutillas%20a%20Altea.JPG,Madrid,+1927-01-01T00:00:00Z,+2009-02-22T00:00:00Z,Poesía,,,Premios Valenciano del Año,92973,Q213
Carmelo de Echegaray,Carmelo de Echegaray,España,http://commons.wikimedia.org/wiki/Special:FilePath/Karmelo%20Etxegarai.png,Azpeitia,+1865-01-01T00:00:00Z,+1925-01-01T00:00:00Z,Poesía,,,,10769,Q214
Carmen Karr,Carmen Karr,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carme%20Karr%20i%20Alfonsetti.jpg,Barcelona,+1865-03-16T00:00:00Z,+1943-12-29T00:00:00Z,,,,,7277,Q215
Carmen Laforet,Carmen Laforet,España,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Carmen%20Laforet.jpg,España,+1921-09-06T00:00:00Z,+2004-02-28T00:00:00Z,Novela,,,"Premio Fastenrath, Premio Nadal",3392,Q216
Carmen Martín Gaite,Carmen Martín Gaite,España,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Mart%C3%ADn%20Gaite.jpg,Salamanca,+1925-12-08T00:00:00Z,+2000-07-22T00:00:00Z,"Poesía, Novela, Drama, Cuento, Guión cinematográfico",Generación del 50,,"Premio Nadal, Premio Princesa de Asturias de las Letras, Premio Café Gijón",3399,Q217
Carmen de Burgos,Carmen de Burgos,España,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A1rmen%20de%20Burgos%20y%20Segu%C3%AD.jpg,Almería,+1867-12-10T00:00:00Z,+1932-10-08T00:00:00Z,,,,,3386,Q218
Castelao,Castelao,España,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81%20Irmandade%20Galega%20Curros%20Enr%C3%ADquez%20de%20Rosario%2C%20no%20d%C3%ADa%20da%20mi%C3%B1a%20partida.%20Castelao%2C%201946.jpg,Rianjo,+1886-01-29T00:00:00Z,+1950-01-07T00:00:00Z,,,"Sempre en Galiza, Cousas, Os vellos non deben de namorarse, Álbum Nós, Los dos de siempre, As cruces de pedra na Galiza",Medalla de Oro de Galicia,7713,Q219
Caterina Albert,Caterina Albert,España,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Catala%200923.JPG,La Escala,+1869-09-11T00:00:00Z,+1966-01-27T00:00:00Z,Modernismo,Modernismo catalán,"Solitud, Drames rurals",Premio Fastenrath,3402,Q220
Cayetano Rosell,Cayetano Rosell,España,http://commons.wikimedia.org/wiki/Special:FilePath/Cayetano%20Rosell%20y%20L%C3%B3pez%2C%20en%20La%20Ilustraci%C3%B3n%20Espa%C3%B1ola%20y%20Americana.jpg,Aravaca,+1817-01-01T00:00:00Z,+1883-03-26T00:00:00Z,,,,,5627,Q221
Cayetano de Mergelina y Luna,Cayetano de Mergelina y Luna,España,http://commons.wikimedia.org/wiki/Special:FilePath/Cayetano%20de%20Mergelina%20y%20Luna.jpg,Sanlúcar de Barrameda,+1890-06-09T00:00:00Z,+1962-04-14T00:00:00Z,,,,Gran Cruz de la Orden Civil de Alfonso X el Sabio,13824,Q222
Ceferino Palencia,Ceferino Palencia,España,http://commons.wikimedia.org/wiki/Special:FilePath/1880-04-18%2C%20Madrid%20C%C3%B3mico%2C%20de%20Luque%2C%20Ceferino%20Palencia%20%28cropped%29.jpg,Fuente de Pedro Naharro,+1859-07-19T00:00:00Z,+1928-07-22T00:00:00Z,Dramaturgia,,,,7246,Q223
Ceferino Suárez Bravo,Ceferino Suárez Bravo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ceferino%20Su%C3%A1rez%20Bravo.jpg,Oviedo,+1824-12-13T00:00:00Z,+1896-01-01T00:00:00Z,,,,,1996,Q224
Celso García de la Riega,Celso García de la Riega,España,http://commons.wikimedia.org/wiki/Special:FilePath/DelaRiega.JPG,Pontevedra,+1844-08-26T00:00:00Z,+1914-02-03T00:00:00Z,,,,,36814,Q225
Celso Lucio,Celso Lucio,España,http://commons.wikimedia.org/wiki/Special:FilePath/1891-12-19%2C%20Madrid%20C%C3%B3mico%2C%20Celso%20Lucio%2C%20Cilla%20%28cropped%29.jpg,Burgos,+1865-01-01T00:00:00Z,+1915-01-01T00:00:00Z,,,,,4697,Q226
Cesáreo Fernández Duro,Cesáreo Fernández Duro,España,http://commons.wikimedia.org/wiki/Special:FilePath/Capit%C3%A1n%20Ces%C3%A1reo%20Fern%C3%A1ndez%20Duro.jpg,Zamora,+1830-02-25T00:00:00Z,+1908-06-05T00:00:00Z,,,,"Orden de Alfonso XII, Orden de Carlos III, Orden de Isabel la Católica, Cruz Laureada de San Fernando, Real y Militar Orden de San Hermenegildo, Gran Cruz de la Orden Civil de Alfonso XII",5370,Q227
Charles Brockden Brown,Charles Brockden Brown,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Brockden%20Brown.jpg,Filadelfia,+1771-01-17T00:00:00Z,+1810-02-22T00:00:00Z,,,,,385,Q228
Charles Finney,Charles Finney,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20g%20finney.jpg,Condado de Litchfield,+1792-08-29T00:00:00Z,+1875-08-16T00:00:00Z,,,,,843,Q229
Charlotte Brontë,Charlotte Brontë,Reino Unido de Gran Bretaña e Irlanda,http://commons.wikimedia.org/wiki/Special:FilePath/CBRichmond.png,Thornton,+1816-04-21T00:00:00Z,+1855-03-31T00:00:00Z,Novela,,"Jane Eyre, Poemas de Currer, Ellis y Acton Bell",,441,Q230
Cirilo Villaverde,Cirilo Villaverde,Cuba,http://commons.wikimedia.org/wiki/Special:FilePath/Cirilo%20Villaverde.jpg,Pinar del Río,+1812-10-28T00:00:00Z,+1894-10-24T00:00:00Z,,,,,319,Q231
Ciro Alegría,Ciro Alegría,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Ciro%20Alegr%C3%ADa.JPG,Huamachuco,+1909-11-04T00:00:00Z,+1967-02-17T00:00:00Z,"Poesía, Novela",Grupo Norte,,,2942,Q232
Ciro Bayo,Ciro Bayo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ciro%20Bayo.PNG,Madrid,+1859-04-16T00:00:00Z,+1939-07-04T00:00:00Z,,,,Premio Fastenrath,5,Q233
Clare Boothe Luce,Clare Boothe Luce,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Clare%20Boothe%20Luce%20%28R%E2%80%93CT%29.jpg,Nueva York,+1903-03-10T00:00:00Z,+1987-10-09T00:00:00Z,,,,"Medalla Presidencial de la Libertad, Salón de la Fama de las mujeres de Connecticut, Caballero de Gran Cruz de la Orden al Mérito de la República Italiana",43097,Q234
Claribel Alegría Vides,Claribel Alegría Vides,El Salvador,http://commons.wikimedia.org/wiki/Special:FilePath/Claribel%20Alegria.jpg,Estelí,+1924-05-12T00:00:00Z,+2018-01-25T00:00:00Z,,,,"Premio Casa de las Américas, Premio Internacional Neustadt de Literatura, Premio Reina Sofía de Poesía Iberoamericana, Orden al Mérito Docente y Cultural Gabriela Mistral, caballero de las Artes y las Letras, comendador de la Orden de la Estrella de la Solidaridad Italiana",41185,Q235
Clarice Lispector,Clarice Lispector,Brasil,http://commons.wikimedia.org/wiki/Special:FilePath/Clarice%20Lispector%2C%201972.tif,Chechelnik,+1920-12-10T00:00:00Z,+1977-12-09T00:00:00Z,,,,"Premio Jabuti de Literatura, Orden del Mérito Cultural",9352,Q236
Claro M. Recto,Claro M. Recto,Filipinas,http://commons.wikimedia.org/wiki/Special:FilePath/Claro%20Mayo%20Recto.jpg,Tiaong,+1890-02-08T00:00:00Z,+1960-10-02T00:00:00Z,,,,Gran Cruz de la Orden de Isabel la Católica,59266,Q237
Claude McKay,Claude McKay,Jamaica,http://commons.wikimedia.org/wiki/Special:FilePath/Mackey.jpg,Parroquia de Clarendon,+1889-09-15T00:00:00Z,+1948-05-22T00:00:00Z,,"Renacimiento de Harlem, Comunista",,,41180,Q238
Claudio Sánchez-Albornoz,Claudio Sánchez-Albornoz,España,http://commons.wikimedia.org/wiki/Special:FilePath/Busto%20Claudio.JPG,Madrid,+1893-04-07T00:00:00Z,+1984-07-08T00:00:00Z,,,,"Premio Princesa de Asturias de Comunicación y Humanidades, doctor honoris causa, Gran Cruz de la Orden de Carlos III, Gran Cruz de la Orden Civil de Alfonso X el Sabio, Medalla de Oro de la Provincia de Ávila",37310,Q239
Claudio de la Torre,Claudio de la Torre,España,http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20de%20la%20Torre.JPG,Las Palmas de Gran Canaria,+1895-10-30T00:00:00Z,+1973-01-10T00:00:00Z,"Poesía, Novela, Teatro",,"Verano de Juan ""el Chino"", En la vida del señor Alegre, El río que nace en junio",Concurso Nacional de Literatura,82789,Q240
Cleveland Amory,Cleveland Amory,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Cleveland%20Amory%201974.JPG,Nahant,+1917-09-02T00:00:00Z,+1998-10-14T00:00:00Z,,,,,43324,Q241
Clorinda Matto de Turner,Clorinda Matto de Turner,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/ClorindaMattodeTurner.jpg,Coya,+1852-09-11T00:00:00Z,+1909-10-25T00:00:00Z,"Novela, Ensayo",,,,2931,Q242
Concepción Arenal,Concepción Arenal,España,http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg,Ferrol,+1820-01-31T00:00:00Z,+1893-02-04T00:00:00Z,"Poesía, Derecho penal, Derecho penitenciario",,,,59,Q243
Concepción Gimeno de Flaquer,Concepción Gimeno de Flaquer,España,http://commons.wikimedia.org/wiki/Special:FilePath/Concepci%C3%B3n%20Gimeno%20de%20Flaquer%2C%20en%20Feminal.jpg,Alcañiz,+1850-12-01T00:00:00Z,+1919-01-01T00:00:00Z,,,Mujeres: Vidas paralelas,,12917,Q244
Concha Espina,Concha Espina,España,http://commons.wikimedia.org/wiki/Special:FilePath/1920%2C%20Historia%20de%20la%20lengua%20y%20literatura%20castellana%2C%20Concha%20Espina.jpg,Santander,+1869-05-15T00:00:00Z,+1955-05-19T00:00:00Z,"Poesía, Novela, Ensayo, Cuento, Dramaturgia",,,"Premio Fastenrath, Premio Nacional de Narrativa, Gran Cruz de la Orden Civil de Alfonso X el Sabio",3384,Q245
Concha Michel,Concha Michel,México,http://commons.wikimedia.org/wiki/Special:FilePath/Concha%20Michel.jpg,Villa Purificación,+1899-01-01T00:00:00Z,+1990-12-27T00:00:00Z,,,,,70371,Q246
Conde de Lautréamont,Conde de Lautréamont,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Lautr%C3%A9amont.jpg,Montevideo,+1846-04-04T00:00:00Z,+1870-11-24T00:00:00Z,,,,,2068,Q247
Constancia de la Mora,Constancia de la Mora,España,http://commons.wikimedia.org/wiki/Special:FilePath/Constancia%20de%20la%20Mora.jpg,Madrid,+1906-01-28T00:00:00Z,+1950-01-26T00:00:00Z,,,,,70803,Q248
Constantino Gil y Luengo,Constantino Gil y Luengo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Constantino%20Gil%2C%20de%20Mecachis%2C%20La%20Semana%20C%C3%B3mica%2C%2005-10-1888%20%2871%29.jpg,Zaragoza,+1844-03-11T00:00:00Z,+1914-01-01T00:00:00Z,"Poesía, Dramaturgia",,,,5563,Q249
Constantino de Horta y Pardo,Constantino de Horta y Pardo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Constantino%20Horta%201911.jpg,Puentedeume,+1860-05-21T00:00:00Z,+1923-06-20T00:00:00Z,,,,,10795,Q250
Conyers Middleton,Conyers Middleton,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Conyers%20Middleton%20by%20John%20Giles%20Eccardt.jpg,Richmond,+1683-12-27T00:00:00Z,+1750-07-28T00:00:00Z,,,,,13273,Q251
Coretta Scott King,Coretta Scott King,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Coretta%20Scott%20King%201964.jpg,Marion,+1927-04-27T00:00:00Z,+2006-01-30T00:00:00Z,,,,"Medalla de Oro del Congreso de los Estados Unidos, Salón Nacional de la Fama de Mujeres, Premio Wateler de la Paz, Salón de la Fama de las mujeres de Alabama, Premio internacional Viareggio-Versilia",53715,Q252
Cosme Vidal i Rosich,Cosme Vidal i Rosich,España,http://commons.wikimedia.org/wiki/Special:FilePath/Josep%20Aladern.jpg,Alcover,+1869-12-28T00:00:00Z,+1918-10-16T00:00:00Z,,Modernismo catalán,,,3482,Q253
Cristóbal Crespí de Valldaura y Parizuela,Cristóbal Crespí de Valldaura y Parizuela,España,http://commons.wikimedia.org/wiki/Special:FilePath/Cristobal%20Crespi%20de%20Valldaura.jpg,San Mateo,+1599-12-18T00:00:00Z,+1671-02-22T00:00:00Z,,,,Caballero de la Orden de Montesa,67061,Q254
Cristóbal Litrán,Cristóbal Litrán,España,http://commons.wikimedia.org/wiki/Special:FilePath/Cristobal%20Litr%C3%A1n.jpg,Reus,+1861-01-01T00:00:00Z,+1926-01-01T00:00:00Z,,,,,65431,Q255
Cristóbal Mosquera de Figueroa,Cristóbal Mosquera de Figueroa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Crist%C3%B3bal%20Mosquera%20de%20Figueroa.jpg,Sevilla,+1547-01-01T00:00:00Z,+1610-01-01T00:00:00Z,,,,,60067,Q256
Cristóbal Pérez Pastor,Cristóbal Pérez Pastor,España,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A9rez%20Pastor.jpg,Tobarra,+1833-01-01T00:00:00Z,+1906-01-01T00:00:00Z,,,,,3246,Q257
Cristóbal Pérez de Herrera,Cristóbal Pérez de Herrera,España,http://commons.wikimedia.org/wiki/Special:FilePath/Crist%C3%B3bal%20P%C3%A9rez%20de%20Herrera%20%281598%29.png,Salamanca,+1558-01-01T00:00:00Z,+1620-01-01T00:00:00Z,,,,,64754,Q258
Cristóbal de Fonseca,Cristóbal de Fonseca,España,http://commons.wikimedia.org/wiki/Special:FilePath/1592%20Tratado%20del%20Amor%20de%20Dios.jpg,España,+1550-01-01T00:00:00Z,+1621-01-01T00:00:00Z,,,,,25943,Q259
Cristóbal de Monroy,Cristóbal de Monroy,España,http://commons.wikimedia.org/wiki/Special:FilePath/CristobaldeMonroy.jpg,Alcalá de Guadaíra,+1612-10-22T00:00:00Z,+1649-07-06T00:00:00Z,,,,,30322,Q260
César Augusto Cisneros Luces,César Augusto Cisneros Luces,España,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9sar%20Cisneros%20Luces.jpg,Muros,+1849-09-22T00:00:00Z,+1897-01-04T00:00:00Z,,,,,31402,Q261
César Dávila Andrade,César Dávila Andrade,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20a%20C%C3%A9sar%20D%C3%A1vila%2C%20frente%20a%20la%20Casa%20de%20la%20Cultura%20.jpg,Cuenca,+1918-10-05T00:00:00Z,+1967-05-02T00:00:00Z,,,Boletín y elegía de las mitas,,10257,Q262
César Moro,César Moro,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9sar%20Moro.jpg,Lima,+1903-08-19T00:00:00Z,+1956-01-10T00:00:00Z,,,,,10228,Q263
D. H. Lawrence,D. H. Lawrence,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/DH%20Lawrence%201906.jpg,Eastwood,+1885-09-11T00:00:00Z,+1930-03-02T00:00:00Z,"Poesía, Novela, Ensayo, Novela corta",Literatura modernista,"Hijos y amantes, El amante de Lady Chatterley, El arco iris",Premio James Tait Black,1548,Q264
Damián Isern,Damián Isern,España,http://commons.wikimedia.org/wiki/Special:FilePath/Dami%C3%A1n%20Isern.png,Palma de Mallorca,+1852-01-01T00:00:00Z,+1914-10-27T00:00:00Z,,,,,73372,Q265
Daphne du Maurier,Daphne du Maurier,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Young%20Daphne%20du%20Maurier.jpg,Londres,+1907-05-13T00:00:00Z,+1989-04-19T00:00:00Z,Literatura gótica,,Rebeca,"Orden del Imperio británico, Premio Nacional del Libro, Premio Edgar, Dama Comandante de la Orden del Imperio británico",66093,Q266
David Douglas Duncan,David Douglas Duncan,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/David%20D%20Duncan%20cropped.jpg,Kansas City,+1916-01-23T00:00:00Z,+2018-06-07T00:00:00Z,,,,"Premio Medalla de Oro Robert Capa, legionario de la Legión del Mérito",43510,Q267
David Graham Phillips,David Graham Phillips,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Graham%20Phillips.jpg,Madison,+1867-10-31T00:00:00Z,+1911-01-23T00:00:00Z,,,,,419,Q268
David Hume,David Hume,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Allan%20Ramsay%20-%20David%20Hume%2C%201711%20-%201776.%20Historian%20and%20philosopher%20-%20Google%20Art%20Project.jpg,Edimburgo,+1711-05-07T00:00:00Z,+1776-08-25T00:00:00Z,,"Ilustración, Naturalismo, Empirismo, Escepticismo filosófico","Investigación sobre el entendimiento humano, Investigación sobre los principios de la moral, Tratado de la naturaleza humana",,1640,Q269
David Viñas,David Viñas,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Vi%C3%B1as.JPG,Buenos Aires,+1927-07-28T00:00:00Z,+2011-03-10T00:00:00Z,,,,,36106,Q270
Delmira Agustini,Delmira Agustini,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Delmira%20Agustini.jpg,Montevideo,+1886-10-24T00:00:00Z,+1914-07-06T00:00:00Z,Poesía,"Vanguardismo, Modernismo",,,582,Q271
Demetrio Aguilera Malta,Demetrio Aguilera Malta,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Stamps%20of%20Ecuador%2C%202009-36.jpg,Guayaquil,+1909-05-24T00:00:00Z,+1981-12-28T00:00:00Z,"Novela, Cuento, Teatro",,"Los que se van, Don Goyo, Siete lunas y siete serpientes",,10252,Q272
Diego Dublé Urrutia,Diego Dublé Urrutia,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/D.%20Duble%20Urrutia.JPG,Angol,+1877-07-08T00:00:00Z,+1967-11-13T00:00:00Z,Poesía,,,Premio Nacional de Literatura,10261,Q273
Diego Hurtado de Mendoza,Diego Hurtado de Mendoza,España,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Diego%20Hurtado%20de%20Mendoza%20recortado.jpg,Granada,+1504-01-01T00:00:00Z,+1575-08-24T00:00:00Z,Poesía,,,,96,Q274
Diego San José de la Torre,Diego San José de la Torre,España,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20San%20Jos%C3%A9.png,Madrid,+1884-08-09T00:00:00Z,+1962-11-10T00:00:00Z,"Poesía, Novela, Periodismo, Dramaturgia",,,,82777,Q275
Diego Tadeo González,Diego Tadeo González,España,http://commons.wikimedia.org/wiki/Special:FilePath/Amills-Retrato%20de%20Fray%20Diego%20Tadeo%20Gonz%C3%A1lez.jpg,Ciudad Rodrigo,+1732-07-22T00:00:00Z,+1794-09-10T00:00:00Z,Poesía,,,,2602,Q276
Diego de Saavedra Fajardo,Diego de Saavedra Fajardo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Saavedra%20Fajardo.jpg,Murcia,+1584-05-06T00:00:00Z,+1648-08-24T00:00:00Z,,,,,35,Q277
Diego de Torres Villarroel,Diego de Torres Villarroel,España,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20de%20Torres%20Villarroel.jpg,Salamanca,+1693-06-17T00:00:00Z,+1770-06-19T00:00:00Z,Novela,,,,86,Q278
Diego de Valera,Diego de Valera,España,http://commons.wikimedia.org/wiki/Special:FilePath/Higueruela.jpg,Cuenca,+1412-01-01T00:00:00Z,+1488-01-01T00:00:00Z,,,,,5276,Q279
Dionisio Ridruejo,Dionisio Ridruejo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Mandos%20militares%20espa%C3%B1oles%20en%20una%20estaci%C3%B3n%20de%20tren%20mue-209893%20%28cropped%29.jpg,El Burgo de Osma,+1912-10-12T00:00:00Z,+1975-06-29T00:00:00Z,"Poesía, Ensayo",,,premio Mariano de Cavia,11004,Q280
